id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score
117,AVAUSDT,15m,LONG,pinbar_buy,0.46830000,0.44284111,0.49375889,0.51921778,0.46990000,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 19:15:27.476351,,0.02303555,,,,,,,,
115,AUCTIONUSDT,15m,SHORT,pinbar_sell,7.07000000,7.11597213,7.02700000,6.97805575,6.93208362,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 17:00:27.526057,,0.05188851,,,,,,,,
114,LAUSDT,15m,SHORT,pinbar_sell,0.39960000,0.40540177,0.39830000,0.38799646,0.38219469,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 16:45:26.971411,,0.00400708,,,,,,,,
112,HIPPOUSDT,15m,LONG,pinbar_buy,0.00165800,0.00163625,,0.00170149,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 00:45:23.452333,,,,,,,,,,
111,PIPPINUSDT,15m,SHORT,pinbar_sell,0.01797000,0.01836405,,0.01718190,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 00:45:19.242189,,,,,,,,,,
110,RIVERUSDT,15m,SHORT,pinbar_sell,7.30500000,7.50718350,,6.90063300,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 00:15:24.143239,,,,,,,,,,
109,SOPHUSDT,15m,SHORT,pinbar_sell,0.02848400,0.02873924,,0.02801253,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:30.081625,,,,,,,,,,
108,SKLUSDT,15m,LONG,pinbar_buy,0.02004000,0.01960116,,0.02100769,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:27.085264,,,,,,,,,,
106,EIGENUSDT,15m,SHORT,fakey_sell,1.09580000,1.10916855,,1.07086290,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:24.107015,,,,,,,,,,
105,FUSDT,15m,SHORT,fakey_sell,0.01855400,0.01885777,,0.01798546,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:18.836854,,,,,,,,,,
104,THETAUSDT,15m,SHORT,fakey_sell,0.54090000,0.54740925,,0.52908150,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:18.753849,,,,,,,,,,
101,CUSDT,15m,LONG,pinbar_buy,0.12305000,0.12181216,,0.12546568,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 20:45:27.4624,,,,,,,,,,
100,VVVUSDT,15m,LONG,pinbar_buy,1.64600000,1.62429500,,1.69241000,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 20:45:22.303471,,,,,,,,,,
99,BIOUSDT,15m,LONG,pinbar_buy,0.09137000,0.09062171,,0.09301658,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 20:45:14.145045,,,,,,,,,,
98,BNBUSDT,15m,SHORT,fakey_sell,1143.19000000,1150.71345000,,1126.61310000,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 20:15:22.666598,,,,,,,,,,
