id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,time_to_tp1_min,time_to_tp2_min,time_to_tp3_min,time_to_be_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score,be_activated,trailing_activated,partial_closed,partial_close_p1,partial_close_p2,partial_close_p3,initial_sl,current_sl,position_size,spread_percent,depth_1pct_bid,depth_1pct_ask,order_book_imbalance,volume_24h_usdt,dist_to_dir_h1_zone_atr,dist_to_dir_h4_zone_atr,arrival_pattern
143,ATOMUSDT,15m,SHORT,pinbar_sell,2.57100000,2.60171948,2.50956105,2.50956105,2.50956105,SL_HIT,SL_HIT,-1.0000,-1.1948,downtrend,t,9,bullish,-0.1985,50.00,with,0.01700000,sideways,0.0000,,0.1628,-1.0417,2025-11-06 17:15:23.675821,33,,,,,0.02286579,,0.00000000,,2.00,2.00,2.00,f,,f,f,100.00,0.00,100.00,0.00,2.60171948,2.60171948,100.00,,,,,,,,
142,BASUSDT,15m,SHORT,pinbar_sell,0.00847000,0.00872333,0.00796335,0.00796335,0.00796335,SL_HIT,SL_HIT,-1.0000,-2.9909,downtrend,t,8,bullish,-0.0728,50.00,with,0.00014000,sideways,0.0000,,0.4737,-0.3553,2025-11-06 17:15:21.215181,14,,,,,0.00018888,,0.00000000,,2.00,2.00,2.00,f,,f,f,100.00,0.00,100.00,0.00,0.00872333,0.00872333,100.00,,,,,,,,
141,ALICEUSDT,15m,SHORT,pinbar_sell,0.23900000,0.24429436,0.22841127,0.22841127,0.22841127,SL_HIT,SL_HIT,-1.0000,-2.2152,downtrend,f,6,choppy,-0.6110,50.00,with,0.00300000,sideways,0.0000,,0.0000,-1.5110,2025-11-06 17:15:21.19905,139,,,,,0.00382394,,0.00000000,,2.00,2.00,2.00,f,,f,f,100.00,0.00,100.00,0.00,0.24429436,0.24429436,100.00,,,,,,,,
140,NOTUSDT,15m,SHORT,pinbar_sell,0.00062430,0.00063534,0.00060222,0.00060222,0.00060222,SL_HIT,SL_HIT,-1.0000,-1.7684,downtrend,f,9,bearish,-1.5227,65.00,with,0.00000650,sideways,0.0000,,0.0543,-0.9873,2025-11-06 17:15:17.679398,33,,,,,0.00000756,,0.00000000,,2.00,2.00,2.00,f,,f,f,100.00,0.00,100.00,0.00,0.00063534,0.00063534,100.00,,,,,,,,
138,GALAUSDT,15m,SHORT,pinbar_sell,0.00859000,0.00874225,0.00828550,0.00828550,0.00828550,SL_HIT,SL_HIT,-1.0000,-1.7724,downtrend,f,8,choppy,-0.7472,65.00,with,0.00009000,sideways,0.0000,,0.0657,-1.0509,2025-11-06 17:15:12.456791,34,,,,,0.00010375,,0.00000000,,2.00,2.00,2.00,f,,f,f,100.00,0.00,100.00,0.00,0.00874225,0.00874225,100.00,,,,,,,,
137,ALPINEUSDT,15m,SHORT,pinbar_sell,0.67790000,0.69322762,0.64724476,0.64724476,0.64724476,SL_HIT,SL_HIT,-1.0000,-2.2610,downtrend,f,7,bearish,-1.1400,65.00,with,0.01190000,sideways,0.0000,,1.1287,-0.2805,2025-11-06 10:15:13.996499,570,,,,,0.00571270,,0.00000000,,2.00,2.00,2.00,f,,f,t,100.00,0.00,100.00,0.00,0.69322762,0.67023619,100.00,,,,,,,,
135,ZEREBROUSDT,15m,SHORT,pinbar_sell,0.04564000,0.04638910,0.04414180,0.04414180,0.04414180,SL_HIT,SL_HIT,-1.0000,-1.6413,downtrend,f,7,bearish,-0.2083,65.00,with,0.00044000,sideways,0.0000,,0.8410,-2.8568,2025-11-06 10:00:18.015102,1337,,,,,0.00051517,,0.00000000,,2.00,2.00,2.00,f,,f,f,100.00,0.00,100.00,0.00,0.04638910,0.04638910,100.00,,,,,,,,
132,BDXNUSDT,15m,SHORT,pinbar_sell,0.05864000,0.07090162,0.03656909,0.03656909,0.03656909,SL_HIT,SL_HIT,-1.0000,-20.9100,downtrend,t,6,bullish,-5.1954,50.00,with,0.01079000,sideways,0.0000,,0.0995,-2.5886,2025-11-04 23:15:17.342274,640,,,,,0.00490539,,0.00000000,,1.80,1.80,1.80,f,,f,f,100.00,0.00,100.00,0.00,0.07090162,0.07090162,100.00,,,,,,,,
117,AVAUSDT,15m,LONG,pinbar_buy,0.46830000,0.44284111,0.49375889,0.51921778,0.46990000,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 19:15:27.476351,,,,,,0.02303555,,,,,,,,,f,f,0.00,,,,0.44284111,0.44284111,100.00,,,,,,,,
115,AUCTIONUSDT,15m,SHORT,pinbar_sell,7.07000000,7.11597213,7.02700000,6.97805575,6.93208362,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 17:00:27.526057,,,,,,0.05188851,,,,,,,,,f,f,0.00,,,,7.11597213,7.11597213,100.00,,,,,,,,
114,LAUSDT,15m,SHORT,pinbar_sell,0.39960000,0.40540177,0.39830000,0.38799646,0.38219469,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 16:45:26.971411,,,,,,0.00400708,,,,,,,,,f,f,0.00,,,,0.40540177,0.40540177,100.00,,,,,,,,
112,HIPPOUSDT,15m,LONG,pinbar_buy,0.00165800,0.00163625,,0.00170149,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 00:45:23.452333,,,,,,,,,,,,,,,f,f,0.00,,,,,0.00163625,100.00,,,,,,,,
111,PIPPINUSDT,15m,SHORT,pinbar_sell,0.01797000,0.01836405,,0.01718190,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 00:45:19.242189,,,,,,,,,,,,,,,f,f,0.00,,,,,0.01836405,100.00,,,,,,,,
110,RIVERUSDT,15m,SHORT,pinbar_sell,7.30500000,7.50718350,,6.90063300,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-28 00:15:24.143239,,,,,,,,,,,,,,,f,f,0.00,,,,,7.50718350,100.00,,,,,,,,
109,SOPHUSDT,15m,SHORT,pinbar_sell,0.02848400,0.02873924,,0.02801253,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:30.081625,,,,,,,,,,,,,,,f,f,0.00,,,,,0.02873924,100.00,,,,,,,,
108,SKLUSDT,15m,LONG,pinbar_buy,0.02004000,0.01960116,,0.02100769,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:27.085264,,,,,,,,,,,,,,,f,f,0.00,,,,,0.01960116,100.00,,,,,,,,
106,EIGENUSDT,15m,SHORT,fakey_sell,1.09580000,1.10916855,,1.07086290,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:24.107015,,,,,,,,,,,,,,,f,f,0.00,,,,,1.09580000,100.00,,,,,,,,
105,FUSDT,15m,SHORT,fakey_sell,0.01855400,0.01885777,,0.01798546,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:18.836854,,,,,,,,,,,,,,,f,f,0.00,,,,,0.01885777,100.00,,,,,,,,
104,THETAUSDT,15m,SHORT,fakey_sell,0.54090000,0.54740925,,0.52908150,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:18.753849,,,,,,,,,,,,,,,f,f,0.00,,,,,0.54740925,100.00,,,,,,,,
