id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,time_to_tp1_min,time_to_tp2_min,time_to_tp3_min,time_to_be_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score,be_activated,trailing_activated,partial_closed,partial_close_p1,partial_close_p2,partial_close_p3,initial_sl,current_sl,position_size,spread_percent,depth_1pct_bid,depth_1pct_ask,order_book_imbalance,volume_24h_usdt,dist_to_dir_h1_zone_atr,dist_to_dir_h4_zone_atr,arrival_pattern
144,PARTIUSDT,15m,LONG,pinbar_buy,0.06528000,0.06356328,0.06871344,0.06871344,0.06871344,TP2_HIT,TP2_HIT,2.0000,5.2596,uptrend,f,9,choppy,-0.4707,65.00,with,0.00101000,,,,2.1203,-0.3612,2025-11-07 10:45:17.21444,,,335,,,0.00117787,,0.00000000,,2.00,2.00,2.00,f,,t,t,100.00,0.00,100.00,0.00,0.06356328,0.06871344,100.00,,,,,,,,
139,AIAUSDT,15m,LONG,pinbar_buy,4.87800000,3.75059953,6.90732084,6.90732084,6.90732084,TP2_HIT,TP2_HIT,1.8000,41.6015,uptrend,f,4,bullish,11.3228,50.00,with,0.75790000,,,,2.3646,-0.2515,2025-11-06 17:15:16.097129,,,266,,,0.61583412,,0.00000000,,1.80,1.80,1.80,f,,t,t,100.00,0.00,100.00,0.00,3.75059953,6.90732084,100.00,,,,,,,,
136,PROMPTUSDT,15m,LONG,pinbar_buy,0.07059000,0.06540831,0.07991703,0.07991703,0.07991703,TP2_HIT,TP2_HIT,1.8000,13.2130,uptrend,f,8,choppy,1.5652,50.00,with,0.00359000,,,,5.9035,-0.0888,2025-11-06 10:15:12.368411,,,401,,,0.00265281,,0.00000000,,1.80,1.80,1.80,f,,t,f,100.00,0.00,100.00,0.00,0.06540831,0.07991703,100.00,,,,,,,,
134,TSTUSDT,15m,LONG,fakey_buy,0.01698000,0.01644007,0.01805986,0.01805986,0.01805986,TP2_HIT,TP2_HIT,2.0000,6.3596,uptrend,t,10,bullish,0.5931,50.00,with,0.00031000,,,,3.4634,-0.0741,2025-11-05 14:00:17.823912,,,456,,,0.00038322,,0.00000000,,2.00,2.00,2.00,f,,t,f,100.00,0.00,100.00,0.00,0.01644007,0.01805986,100.00,,,,,,,,
123,AIXBTUSDT,15m,SHORT,pinbar_sell,0.07723000,0.07984893,0.07330161,0.07068268,0.06675429,,TP2_HIT,,,,,,,,50.00,with,999.00000000,,,,,,2025-10-30 02:00:17.194992,,,,,,0.00261893,10.0000,0.01116000,3.80,1.50,2.50,4.00,,5,f,f,0.00,,,,0.07984893,0.07984893,100.00,,,,,,12.6306,2.8224,chop
122,SOPHUSDT,15m,SHORT,fakey_sell,0.02507500,0.02535074,0.02604000,0.02600430,0.02397203,,TP2_HIT,,,,,,,,,,0.00030900,,,,,,2025-10-30 01:15:20.075685,,,,,,0.00027574,1.2127,0.00027500,0.80,,,,,,f,f,0.00,,,,0.02535074,0.02535074,100.00,,,,,,1.3135,4.3835,chop
121,JASMYUSDT,15m,LONG,fakey_buy,0.01041400,0.01028280,0.00991420,0.01016500,0.01079485,,TP2_HIT,,,,,,,,,,0.00002200,,,,,,2025-10-30 00:15:44.62669,,,,,,0.00013120,0.1723,0.00028600,0.10,,,,,,f,f,0.00,,,,0.01028280,0.01028280,100.00,,,,,,3.7881,3.1387,chop
120,KASUSDT,15m,SHORT,fakey_sell,0.05817000,0.05946571,0.06101550,0.05933550,0.05298714,,TP2_HIT,,,,,,,,,,0.00006000,,,,,,2025-10-30 00:15:30.880553,,,,,,0.00129571,0.0751,0.00166000,0.00,,,,,,f,f,0.00,,,,0.05946571,0.05946571,100.00,,,,,,4.5569,6.4465,chop
119,EIGENUSDT,15m,LONG,pinbar_buy,1.09530000,1.07567143,1.06191000,1.07464000,1.09620500,,TP2_HIT,,,,,,,,,,0.05860000,,,,,,2025-10-30 00:15:21.172599,,,,,,0.01962857,2.6430,0.02250000,1.00,,,,,,f,f,0.00,,,,1.07567143,1.07567143,100.00,,,,,,1.3578,0.8471,chop
116,BIOUSDT,15m,SHORT,pinbar_sell,0.08797000,0.08864491,0.08729509,0.08662017,0.08594526,,TP2_HIT,,,,,,,,,,,,,,,,2025-10-28 17:00:31.038073,,,,,,0.00081966,,,,,,,,,f,f,0.00,,,,0.08864491,0.08864491,100.00,,,,,,,,
