id,symbol,timeframe,pattern_type,entry_price,sl_price,tp2_price,current_sl,status,direction,created_at,updated_at,telegram_message_id,tp1_price,tp3_price,initial_sl,position_size,partial_closed,be_activated,trailing_activated,exit_type,pnl_r,pnl_percent,atr_15m,atr_h4,dist_to_dir_h1_zone_atr,dist_to_dir_h4_zone_atr,free_path_r,arrival_pattern,mfe_r,mae_r,time_to_tp1_min,time_to_tp2_min,time_to_tp3_min,time_to_sl_min,time_to_be_min,first_touch,clearance_15m,clearance_1h,r_available,zone_test_count_24h,veto_reason,sl_buffer_atr15,pattern_score,pattern_score_factors,swing_extreme_price,sl_buffer_atr,round_number_adjusted,min_distance_from_zone,tp1_limited_by_zone,tp2_limited_by_zone,tp3_limited_by_zone,nearest_resistance_distance_r,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,dynamic_min_rr,dynamic_min_rr_adjustments,dynamic_min_rr_reasoning,trend_alignment,multi_tf_alignment,atr_volatility,rr_validation_passed,rr_validation_message,confluence_score,confluence_details,partial_close_p1,partial_close_p2,partial_close_p3,strategy_profile
81,CELOUSDT,15m,pinbar_buy,0.24700000,0.24434514,0.25230971,0.24434514,SL_HIT,LONG,2025-11-01 22:15:16.403594,2025-11-01 22:41:00.574,2181,0.25230971,0.25230971,0.24434514,100.00,100.00,f,f,SL_HIT,-1.0000,-1.0748,0.00218286,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
84,0GUSDT,15m,fakey_sell,1.06380000,1.08268198,1.02603604,1.08268198,SL_HIT,SHORT,2025-11-02 00:15:16.560299,2025-11-02 01:31:01.519,2188,1.02603604,1.02603604,1.08268198,100.00,100.00,f,f,SL_HIT,-1.0000,-1.7750,0.01127327,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
86,ZENUSDT,15m,pinbar_buy,19.94400000,19.01707791,21.61245976,19.01707791,SL_HIT,LONG,2025-11-02 01:30:17.005782,2025-11-02 04:50:01.066,2193,21.61245976,21.61245976,19.01707791,100.00,100.00,f,f,SL_HIT,-1.0000,-4.6476,0.45640696,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.80,1.80,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
146,KASUSDT,15m,pinbar_sell,0.04905000,0.04948343,0.04818313,0.04948343,SL_HIT,SHORT,2025-11-03 08:00:18.719969,2025-11-03 09:04:02.519,2310,0.04818313,0.04818313,0.04948343,100.00,100.00,f,f,SL_HIT,-1.0000,-0.8836,0.00044478,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
50,STRKUSDT,15m,pinbar_sell,0.10370000,0.10446942,0.10216115,0.10446942,SL_HIT,SHORT,2025-11-01 01:15:18.31779,2025-11-01 01:32:01.496,2120,0.10216115,0.10216115,0.10446942,100.00,100.00,f,f,SL_HIT,-1.0000,-0.7420,0.00089808,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
145,ORDIUSDT,15m,pinbar_sell,4.38500000,4.42966930,4.29566140,4.42966930,SL_HIT,SHORT,2025-11-03 08:00:14.728731,2025-11-03 09:06:02.592,2309,4.29566140,4.29566140,4.42966930,100.00,100.00,f,f,SL_HIT,-1.0000,-1.0187,0.04889767,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
116,1000BONKUSDT,15m,pinbar_sell,0.01375800,0.01383404,0.01360592,0.01383404,SL_HIT,SHORT,2025-11-02 21:15:20.653927,2025-11-02 21:45:01.962,2250,0.01360592,0.01360592,0.01383404,100.00,100.00,f,f,SL_HIT,-1.0000,-0.5527,0.00007681,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
117,ZROUSDT,15m,pinbar_sell,1.59970000,1.60926504,1.58056992,1.60926504,SL_HIT,SHORT,2025-11-02 21:15:21.567467,2025-11-02 21:45:02.566,2251,1.58056992,1.58056992,1.60926504,100.00,100.00,f,f,SL_HIT,-1.0000,-0.5979,0.01055013,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
114,ONDOUSDT,15m,pinbar_sell,0.68540000,0.68790891,0.68038219,0.68790891,SL_HIT,SHORT,2025-11-02 21:15:16.640972,2025-11-02 21:48:00.598,2248,0.68038219,0.68038219,0.68790891,100.00,100.00,f,f,SL_HIT,-1.0000,-0.3661,0.00302968,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
120,BCHUSDT,15m,fakey_sell,532.10000000,534.63569279,527.02861442,534.63569279,SL_HIT,SHORT,2025-11-02 22:15:13.088444,2025-11-02 23:14:01.131,2263,527.02861442,527.02861442,534.63569279,100.00,100.00,f,f,SL_HIT,-1.0000,-0.4765,1.45230929,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
