id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score
123,AIXBTUSDT,15m,SHORT,pinbar_sell,0.07723000,0.07984893,0.07330161,0.07068268,0.06675429,,TP2_HIT,,,,,,,,50.00,with,999.00000000,,,,,,2025-10-30 02:00:17.194992,,0.00261893,10.0000,0.01116000,3.80,1.50,2.50,4.00,,5
122,SOPHUSDT,15m,SHORT,fakey_sell,0.02507500,0.02535074,0.02604000,0.02600430,0.02397203,,TP2_HIT,,,,,,,,,,0.00030900,,,,,,2025-10-30 01:15:20.075685,,0.00027574,1.2127,0.00027500,0.80,,,,,
121,JASMYUSDT,15m,LONG,fakey_buy,0.01041400,0.01028280,0.00991420,0.01016500,0.01079485,,TP2_HIT,,,,,,,,,,0.00002200,,,,,,2025-10-30 00:15:44.62669,,0.00013120,0.1723,0.00028600,0.10,,,,,
120,KASUSDT,15m,SHORT,fakey_sell,0.05817000,0.05946571,0.06101550,0.05933550,0.05298714,,TP2_HIT,,,,,,,,,,0.00006000,,,,,,2025-10-30 00:15:30.880553,,0.00129571,0.0751,0.00166000,0.00,,,,,
119,EIGENUSDT,15m,LONG,pinbar_buy,1.09530000,1.07567143,1.06191000,1.07464000,1.09620500,,TP2_HIT,,,,,,,,,,0.05860000,,,,,,2025-10-30 00:15:21.172599,,0.01962857,2.6430,0.02250000,1.00,,,,,
116,BIOUSDT,15m,SHORT,pinbar_sell,0.08797000,0.08864491,0.08729509,0.08662017,0.08594526,,TP2_HIT,,,,,,,,,,,,,,,,2025-10-28 17:00:31.038073,,0.00081966,,,,,,,,
103,GIGGLEUSDT,15m,SHORT,pinbar_sell,171.87000000,174.66921000,,167.74158000,,,TP2_HIT,,,,,,,,,,,,,,,,2025-10-27 21:45:18.249089,,,,,,,,,,
95,SOMIUSDT,15m,SHORT,pinbar_sell,0.49680000,0.50395770,,0.48398460,,,TP2_HIT,,,,,,,,,,,,,,,,2025-10-27 17:30:22.99341,,,,,,,,,,
75,HUSDT,15m,LONG,pinbar_buy,0.31432000,0.30745015,,0.32760971,,,TP2_HIT,,,downtrend,t,6,bearish,-1.9460,,against,0.06544000,,,,,,2025-10-27 06:48:51.983354,,,,,,,,,,
65,DIAUSDT,15m,LONG,pinbar_buy,0.53620000,0.51140380,,0.55459240,,,TP2_HIT,,,uptrend,f,7,bullish,5.1082,,with,,,,,,,2025-10-26 22:47:38.279761,,,,,,,,,,
61,BCHUSDT,15m,LONG,pinbar_buy,553.10000000,546.16172000,,562.83656000,,,TP2_HIT,,,uptrend,f,12,bearish,0.1604,,with,12.00000000,,,,,,2025-10-26 22:00:24.906715,,,,,,,,,,
58,VVVUSDT,15m,LONG,pinbar_buy,1.71000000,1.67511650,,1.77676700,,,TP2_HIT,,,uptrend,t,8,bearish,-0.9545,,with,,,,,,,2025-10-26 21:45:16.692118,,,,,,,,,,
57,BANANAUSDT,15m,LONG,pinbar_buy,13.78500000,13.70486450,,14.00227100,,,TP2_HIT,,,uptrend,f,6,bullish,-0.6170,,with,1.12600000,,,,,,2025-10-26 21:32:30.067814,,,,,,,,,,
56,OPENUSDT,15m,LONG,pinbar_buy,0.38870000,0.38494795,,0.39650410,,,TP2_HIT,,,downtrend,t,9,bearish,-0.9895,,against,0.00160000,,,,,,2025-10-26 21:15:50.088338,,,,,,,,,,
53,AVNTUSDT,15m,LONG,pinbar_buy,0.77520000,0.76969660,,0.79040680,,,TP2_HIT,,,downtrend,f,9,bearish,-0.8425,,against,0.03070000,,,,,,2025-10-26 20:16:28.730535,,,,,,,,,,
50,ICPUSDT,15m,LONG,pinbar_buy,3.23400000,3.21470900,,3.27858200,,,TP2_HIT,,,uptrend,f,6,choppy,-0.0543,,with,,,,,,,2025-10-26 19:31:27.223366,,,,,,,,,,
49,ATOMUSDT,15m,LONG,pinbar_buy,3.23100000,3.21271600,,3.27056800,,,TP2_HIT,,,uptrend,f,7,choppy,0.0068,,with,,,,,,,2025-10-26 19:30:59.158721,,,,,,,,,,
47,HIPPOUSDT,15m,LONG,pinbar_buy,0.00159600,0.00152365,,0.00174070,,,TP2_HIT,,,uptrend,t,7,bearish,-2.1940,,with,0.00020400,,,,,,2025-10-26 15:47:15.215289,,,,,,,,,,
